PID,NAME,RA,DEC,EPOC
TEST,HLAqr,        22:20:26.9,+02:00:54.0,2000.
TEST,QUCar,        11:05:42.8,-68:37:38.0,2000.
TEST,WXCen,        13:12:52.5,-63:23:45.0,2000.
TEST,RZGru,        22:47:12.0,-42:44:39.0,2000.
TEST,CMPhe,        00:21:33.1,-51:42:34.0,2000.
TEST,AHPic,        05:57:12.7,-59:35:26.0,2000.
TEST,V729Sgr,      19:16:49.2,-26:14:33.0,2000.
TEST,V1017Sgr,     18:32:04.5,-29:23:12.0,2000.
TEST,V1082Sgr,     19:07:21.9,-20:46:50.0,2000.
TEST,MCT2347-3144, 23:50:30.5,-31:27:34.0,2000.
TEST,FBS0107-082,  01:09:25.0,-08:00:33.0,2000.
TEST,NSV15086,     00:24:53.0,-01:54:35.0,2000.
TEST,GD1212,       23:38:50.7,-07:41:19.9,2000.
TEST,KS32C06806,   01:34:26.7,-34:36:40.4,2000.
TEST,NGC1316,      03:22:41.8,-37:12:29.5,2000.
TEST,ETACAR ,      10:45:03.6,-59:41:04.0,2000.